champion_id,champion_name,overall_games,overall_wins,overall_win_rate,classification,classification_reason,peak_bin,peak_win_rate,gap_pp,-20m_games,-20m_wins,-20m_win_rate,-20m_low_95,-20m_high_95,20-25m_games,20-25m_wins,20-25m_win_rate,20-25m_low_95,20-25m_high_95,25-30m_games,25-30m_wins,25-30m_win_rate,25-30m_low_95,25-30m_high_95,30-35m_games,30-35m_wins,30-35m_win_rate,30-35m_low_95,30-35m_high_95,35m-_games,35m-_wins,35m-_win_rate,35m-_low_95,35m-_high_95
777,ヨネ,1109,534,0.48151487826871053,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,30〜35分,0.5179282868525896,6.338283230713509,192,95,0.4947916666666667,0.4248692545478394,0.5649184105856153,159,76,0.4779874213836478,0.4017825757326531,0.5552308655501642,265,123,0.4641509433962264,0.4050455748289438,0.5242808389403536,251,130,0.5179282868525896,0.4563078585506406,0.5790081965989111,242,110,0.45454545454545453,0.3930078566733296,0.5175036271438925
21,ミス・フォーチュン,1041,534,0.5129682997118156,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,〜20分,0.543859649122807,7.942450267929241,171,93,0.543859649122807,0.46906078874670787,0.6167311509289758,142,76,0.5352112676056338,0.45333052124938145,0.6152370205219649,250,133,0.532,0.4701300566492007,0.5929013771268234,239,121,0.5062761506276151,0.4432942126816776,0.5690595191336292,239,111,0.46443514644351463,0.4022669969460266,0.527728522767235
22,アッシュ,930,450,0.4838709677419355,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,20〜25分,0.5259259259259259,6.95500869997514,149,68,0.4563758389261745,0.3784976370602949,0.5364469853461703,135,71,0.5259259259259259,0.4421474490145545,0.6082697170221377,220,105,0.4772727272727273,0.41222714776740427,0.543098403872684,221,107,0.4841628959276018,0.41910937515349245,0.5497575960831471,205,99,0.48292682926829267,0.4154659850650685,0.5510157886811583
82,モルデカイザー,919,475,0.5168661588683352,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,35分〜,0.5660377358490566,8.962264150943394,143,77,0.5384615384615384,0.4568160495256255,0.6180946024966897,141,69,0.48936170212765956,0.40823274403341875,0.5710549744121108,212,101,0.47641509433962265,0.410202775095014,0.5434669530760151,211,108,0.5118483412322274,0.4447948398325278,0.578478120339059,212,120,0.5660377358490566,0.49873127619628915,0.6309934849248293
111,ノーチラス,873,406,0.4650630011454754,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,〜20分,0.5253164556962026,9.21367321938984,158,83,0.5253164556962026,0.4477782443144541,0.6016528043158115,136,60,0.4411764705882353,0.3604800479449154,0.5251047851805636,217,94,0.43317972350230416,0.36897771405494323,0.4997064469002392,176,80,0.45454545454545453,0.3827354825788732,0.5282973374138313,186,89,0.478494623655914,0.4078679625053343,0.5499916425548845
89,レオナ,816,440,0.5392156862745098,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,〜20分,0.5877862595419847,10.778625954198473,131,77,0.5877862595419847,0.5021640639675548,0.6684064424636948,125,60,0.48,0.39432615338057314,0.5668665048912893,199,109,0.5477386934673367,0.47833358942877874,0.6153355593059977,171,91,0.5321637426900585,0.45749258491099415,0.6054215041845071,190,103,0.5421052631578948,0.47112722726391343,0.6114143943487849
147,セラフィーン,811,405,0.499383477188656,中盤寄り,中間帯が最高、端点との差 10.4%,30〜35分,0.5533980582524272,10.42001972898603,135,60,0.4444444444444444,0.36331238690531265,0.5286508287303471,109,58,0.5321100917431193,0.4389455497458302,0.6230883101072736,174,89,0.5114942528735632,0.4377781532437514,0.5847137721550304,206,114,0.5533980582524272,0.4851483506684238,0.6196926341506015,187,84,0.44919786096256686,0.37964047544544016,0.5208005185516758
51,ケイトリン,792,392,0.494949494949495,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,20〜25分,0.5299145299145299,9.684366377279762,127,55,0.4330708661417323,0.35010943520734455,0.5199624685296932,117,62,0.5299145299145299,0.43996887268203627,0.6179581987900397,187,92,0.4919786096256685,0.421209290915521,0.563070866031392,174,88,0.5057471264367817,0.43214092079925787,0.5791050419001331,187,95,0.5080213903743316,0.43692913396860805,0.5787907090844789
103,アーリ,788,367,0.46573604060913704,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,25〜30分,0.4971751412429379,6.982471389251055,117,50,0.42735042735042733,0.3414265447745581,0.5178934245075435,121,53,0.4380165289256198,0.35287007928056946,0.526977663779436,177,88,0.4971751412429379,0.42436156675714437,0.5701087321121423,176,82,0.4659090909090909,0.3937266792334007,0.5395479357611276,197,94,0.47715736040609136,0.40851398006941686,0.5466745864427001
222,ジンクス,764,386,0.5052356020942408,中盤寄り,中間帯が最高、端点との差 15.3%,30〜35分,0.6136363636363636,15.259740259740262,144,58,0.4027777777777778,0.3262034003252684,0.4844047099765682,104,52,0.5,0.40563022613791994,0.5943697738620801,186,97,0.521505376344086,0.4500083574451155,0.5921320374946658,176,108,0.6136363636363636,0.5400028827223404,0.6824150672958978,154,71,0.461038961038961,0.3842148762020109,0.539759538654402
99,ラックス,751,378,0.5033288948069241,序盤寄り,〜20分が最高、長時間帯との差 12.1%,〜20分,0.5669291338582677,12.069257471848276,127,72,0.5669291338582677,0.48003753147030676,0.6498905647926555,107,50,0.4672897196261682,0.3755319718023794,0.5613148438336273,166,89,0.536144578313253,0.4603217064180836,0.6103323618431669,165,84,0.509090909090909,0.4334762815299731,0.5842918514419958,186,83,0.44623655913978494,0.37660218836670295,0.5180468242838436
202,ジン,661,359,0.5431164901664145,明瞭な傾向なし,最高帯と端点の差が8ポイント未満、または非単調,〜20分,0.5981308411214953,10.1442099399641,107,64,0.5981308411214953,0.5033928464055272,0.6860667066864526,92,50,0.5434782608695652,0.4419960344126341,0.6414750261706617,154,79,0.512987012987013,0.43469288303066683,0.5906489786838621,151,75,0.4966887417218543,0.4180168316401289,0.575524955579843,157,91,0.5796178343949044,0.501405628781052,0.6540267966611222
