scope,observed_tier,patch,games,avg_duration_seconds,median_duration_seconds,p10_duration_seconds,p25_duration_seconds,p75_duration_seconds,p90_duration_seconds,min_duration_seconds,max_duration_seconds
overall,MIXED,ALL,4672,1725.0042808219177,1758.0,1008.1,1403.0,2066.0,2385.9000000000005,65.0,3472.0
overall,MIXED,14.19,42,1823.952380952381,1775.5,1359.8,1513.5,2092.0,2354.2,927.0,2665.0
overall,MIXED,14.20,46,1691.391304347826,1604.0,1056.5,1387.5,1867.5,2361.0,116.0,3454.0
overall,MIXED,14.21,28,1736.0357142857142,1772.5,986.5,1391.5,2085.25,2466.1000000000004,108.0,3472.0
overall,MIXED,14.22,29,1851.1724137931035,1804.0,1307.0,1485.0,2184.0,2432.2,1045.0,2941.0
overall,MIXED,14.23,21,1884.4285714285713,1913.0,1586.0,1745.0,2100.0,2211.0,993.0,2312.0
overall,MIXED,14.24,25,1744.8,1743.0,1187.4,1351.0,1936.0,2338.0000000000005,1101.0,3283.0
overall,MIXED,15.1,19,1564.0,1591.0,985.2,1241.0,1956.5,2195.8,181.0,2552.0
overall,MIXED,15.10,69,1819.1304347826087,1852.0,1169.0,1576.0,2210.0,2442.4,104.0,2892.0
overall,MIXED,15.11,53,1779.0754716981132,1765.0,1027.2,1489.0,2107.0,2467.6000000000004,911.0,3419.0
overall,MIXED,15.12,51,1724.1960784313726,1774.0,932.0,1376.0,2180.5,2398.0,187.0,2892.0
overall,MIXED,15.13,96,1705.4375,1719.0,1063.0,1355.5,1982.5,2371.5,110.0,3194.0
overall,MIXED,15.14,46,1539.2826086956522,1604.0,911.5,1227.0,1925.25,2195.5,104.0,2885.0
overall,MIXED,15.15,41,1773.1707317073171,1824.0,1180.0,1445.0,1952.0,2420.0,987.0,3023.0
overall,MIXED,15.16,54,1864.3703703703704,1981.0,1016.9000000000002,1659.75,2306.25,2444.1,129.0,2702.0
overall,MIXED,15.17,81,1771.0123456790122,1782.0,1006.0,1427.0,2180.0,2491.0,102.0,3253.0
overall,MIXED,15.18,65,1793.076923076923,1870.0,1226.2,1579.0,2088.0,2207.6,923.0,2610.0
overall,MIXED,15.19,115,1766.7391304347825,1792.0,1225.0,1459.5,2062.5,2292.4,224.0,3049.0
overall,MIXED,15.2,46,1762.2608695652175,1720.0,1025.5,1387.25,1994.75,2662.5,105.0,3196.0
overall,MIXED,15.20,66,1678.4242424242425,1726.0,1002.5,1399.5,1995.0,2229.0,196.0,2476.0
overall,MIXED,15.21,59,1786.050847457627,1745.0,1165.2000000000003,1470.0,2132.0,2434.8,137.0,3210.0
overall,MIXED,15.22,66,1770.1666666666667,1764.0,1047.0,1389.25,2095.25,2409.0,123.0,2868.0
overall,MIXED,15.23,58,1781.155172413793,1750.0,931.7,1392.5,2105.5,2507.7000000000007,717.0,3129.0
overall,MIXED,15.24,171,1716.8654970760233,1754.0,1003.0,1384.5,1999.0,2434.0,106.0,2964.0
overall,MIXED,15.3,41,1796.780487804878,1783.0,1134.0,1508.0,1994.0,2347.0,942.0,3034.0
overall,MIXED,15.4,27,1811.5925925925926,1920.0,1109.6,1494.0,2170.0,2284.6,962.0,2460.0
overall,MIXED,15.5,10,2062.9,2146.5,1592.5,1727.5,2324.5,2529.5,1264.0,2678.0
overall,MIXED,15.6,8,1613.875,1681.0,1005.5,1219.25,1908.5,2129.6,813.0,2537.0
overall,MIXED,15.7,46,1897.2826086956522,1844.5,1236.0,1562.0,2280.25,2499.0,1000.0,3030.0
overall,MIXED,15.8,65,1723.8153846153846,1848.0,989.4,1447.0,2126.0,2419.6,107.0,2747.0
overall,MIXED,15.9,43,1666.0,1762.0,937.8,1238.0,2082.0,2296.8,105.0,2733.0
overall,MIXED,16.1,77,1723.155844155844,1733.0,1112.2,1393.0,1981.0,2313.600000000001,81.0,3341.0
overall,MIXED,16.10,111,1669.2072072072071,1697.0,946.0,1218.5,2056.0,2332.0,71.0,3100.0
overall,MIXED,16.11,118,1655.593220338983,1723.5,931.1,1321.0,2092.5,2368.7,69.0,2902.0
overall,MIXED,16.12,89,1553.2022471910113,1596.0,814.0,1128.0,2037.0,2399.2,73.0,3027.0
overall,MIXED,16.13,329,1720.756838905775,1767.0,1059.2,1412.0,2090.0,2333.2,70.0,3249.0
overall,MIXED,16.14,348,1679.8045977011495,1769.5,926.0,1298.75,2017.5,2392.2000000000003,66.0,3125.0
overall,MIXED,16.15,413,1707.963680387409,1756.0,958.0,1393.0,2038.0,2397.4,69.0,3104.0
overall,MIXED,16.16,333,1755.4684684684685,1766.0,1118.0,1458.0,2076.0,2355.6000000000004,65.0,3073.0
overall,MIXED,16.17,504,1715.5396825396826,1731.0,1113.5,1407.5,2040.5,2326.9,71.0,3126.0
overall,MIXED,16.18,168,1704.392857142857,1761.5,1045.5,1427.0,2019.25,2291.5000000000005,66.0,2873.0
overall,MIXED,16.2,71,1880.5774647887324,1891.0,1254.0,1563.0,2173.5,2590.0,77.0,3116.0
overall,MIXED,16.3,88,1824.9318181818182,1822.5,1136.1000000000001,1517.0,2186.25,2501.3999999999996,577.0,2836.0
overall,MIXED,16.4,53,1844.3396226415093,1966.0,995.0,1459.0,2315.0,2542.2000000000003,226.0,2945.0
overall,MIXED,16.5,81,1620.7530864197531,1671.0,926.0,1276.0,1982.0,2305.0,69.0,3037.0
overall,MIXED,16.6,76,1770.0526315789473,1766.5,944.5,1476.25,2062.0,2325.5,126.0,3324.0
overall,MIXED,16.7,77,1655.8181818181818,1744.0,1096.6,1296.0,1966.0,2171.6,430.0,2723.0
overall,MIXED,16.8,70,1548.9571428571428,1582.5,931.0,1334.0,1877.0,2033.6000000000001,75.0,2593.0
overall,MIXED,16.9,79,1721.1898734177216,1690.0,1008.8,1363.0,2108.5,2513.8,70.0,3108.0
