scope,observed_tier,patch,role,item_id,item_name,games,wins,losses,win_rate,holder_count,pick_rate,pick_rate_denominator,avg_final_slot,min_games_applied
overall,MIXED,16.17,ALL,3340,ステルス ワード,2664,1326,1338,0.49774774774774777,2664,0.5285714285714286,5040,6.0,15
overall,MIXED,16.15,ALL,3340,ステルス ワード,2196,1073,1123,0.48861566484517305,2196,0.5317191283292978,4130,6.0,15
overall,MIXED,16.14,ALL,3340,ステルス ワード,1889,928,961,0.4912652196929592,1889,0.542816091954023,3480,6.0,15
overall,MIXED,16.17,ALL,3364,オラクル レンズ,1728,878,850,0.5081018518518519,1728,0.34285714285714286,5040,6.0,15
overall,MIXED,16.13,ALL,3340,ステルス ワード,1721,833,888,0.48402091807088904,1721,0.5231003039513678,3290,6.0,15
overall,MIXED,16.16,ALL,3340,ステルス ワード,1669,816,853,0.4889155182744158,1669,0.5012012012012012,3330,6.0,15
overall,MIXED,16.15,ALL,3364,オラクル レンズ,1431,738,693,0.5157232704402516,1431,0.34648910411622275,4130,6.0,15
overall,MIXED,16.16,ALL,3364,オラクル レンズ,1200,616,584,0.5133333333333333,1200,0.36036036036036034,3330,6.0,15
overall,MIXED,16.14,ALL,3364,オラクル レンズ,1130,584,546,0.5168141592920354,1130,0.32471264367816094,3480,6.0,15
overall,MIXED,16.13,ALL,3364,オラクル レンズ,1092,564,528,0.5164835164835165,1092,0.33191489361702126,3290,6.0,15
overall,MIXED,16.17,ALL,3047,プレート スチールキャップ,994,509,485,0.5120724346076458,994,0.19722222222222222,5040,2.352112676056338,15
overall,MIXED,16.17,UTILITY,3364,オラクル レンズ,901,462,439,0.5127635960044395,901,0.8938492063492064,1008,6.0,15
overall,MIXED,16.18,ALL,3340,ステルス ワード,874,427,447,0.488558352402746,874,0.5202380952380953,1680,6.0,15
overall,MIXED,16.17,TOP,3340,ステルス ワード,870,439,431,0.5045977011494253,870,0.8630952380952381,1008,6.0,15
overall,MIXED,16.17,ALL,2031,詰め替えポーション,795,363,432,0.45660377358490567,795,0.15773809523809523,5040,1.3081761006289307,15
overall,MIXED,15.24,ALL,3340,ステルス ワード,773,381,392,0.49288486416558863,773,0.452046783625731,1710,6.0,15
overall,MIXED,16.17,MIDDLE,3340,ステルス ワード,750,371,379,0.49466666666666664,750,0.7440476190476191,1008,6.0,15
