scope,observed_tier,patch,role,rune_kind,rune_id,rune_name,games,wins,losses,win_rate,pick_rate,pick_rate_denominator,min_games_applied
overall,MIXED,16.17,ALL,shard,5008,UNKNOWN(5008),4334,2164,2170,0.4993077988001846,0.859920634920635,5040,15
overall,MIXED,16.17,ALL,shard,5001,UNKNOWN(5001),3826,1921,1905,0.5020909566126502,0.7591269841269841,5040,15
overall,MIXED,16.15,ALL,shard,5008,UNKNOWN(5008),3629,1814,1815,0.49986222099752,0.8786924939467312,4130,15
overall,MIXED,16.15,ALL,shard,5001,UNKNOWN(5001),3169,1583,1586,0.49952666456295364,0.7673123486682809,4130,15
overall,MIXED,16.14,ALL,shard,5008,UNKNOWN(5008),3080,1539,1541,0.49967532467532466,0.8850574712643678,3480,15
overall,MIXED,16.13,ALL,shard,5008,UNKNOWN(5008),2921,1457,1464,0.4988017802122561,0.8878419452887538,3290,15
overall,MIXED,16.16,ALL,shard,5008,UNKNOWN(5008),2913,1448,1465,0.49708204600068656,0.8747747747747747,3330,15
overall,MIXED,16.14,ALL,shard,5001,UNKNOWN(5001),2646,1342,1304,0.5071806500377929,0.7603448275862069,3480,15
overall,MIXED,16.13,ALL,shard,5001,UNKNOWN(5001),2572,1279,1293,0.4972783825816485,0.7817629179331307,3290,15
overall,MIXED,16.17,ALL,shard,5005,UNKNOWN(5005),2571,1266,1305,0.49241540256709454,0.5101190476190476,5040,15
overall,MIXED,16.16,ALL,shard,5001,UNKNOWN(5001),2498,1243,1255,0.4975980784627702,0.7501501501501502,3330,15
overall,MIXED,16.15,ALL,shard,5005,UNKNOWN(5005),2039,1001,1038,0.49092692496321727,0.4937046004842615,4130,15
overall,MIXED,16.17,ALL,rune,9111,凱旋,1708,859,849,0.502927400468384,0.3388888888888889,5040,15
overall,MIXED,16.14,ALL,shard,5005,UNKNOWN(5005),1683,827,856,0.49138443256090314,0.4836206896551724,3480,15
overall,MIXED,16.16,ALL,shard,5005,UNKNOWN(5005),1646,829,817,0.5036452004860267,0.4942942942942943,3330,15
overall,MIXED,16.13,ALL,shard,5005,UNKNOWN(5005),1492,737,755,0.49396782841823056,0.4534954407294833,3290,15
overall,MIXED,15.24,ALL,shard,5008,UNKNOWN(5008),1476,748,728,0.5067750677506775,0.8631578947368421,1710,15
overall,MIXED,16.18,ALL,shard,5008,UNKNOWN(5008),1450,715,735,0.49310344827586206,0.8630952380952381,1680,15
overall,MIXED,15.24,ALL,shard,5001,UNKNOWN(5001),1372,685,687,0.49927113702623904,0.8023391812865497,1710,15
overall,MIXED,16.15,ALL,rune,9111,凱旋,1349,690,659,0.5114899925871016,0.32663438256658595,4130,15
overall,MIXED,16.17,ALL,rune,9104,レジェンド: 迅速,1301,646,655,0.4965411222136818,0.25813492063492066,5040,15
overall,MIXED,16.18,ALL,shard,5001,UNKNOWN(5001),1272,649,623,0.5102201257861635,0.7571428571428571,1680,15
overall,MIXED,16.17,ALL,shard,5011,UNKNOWN(5011),1180,581,599,0.4923728813559322,0.23412698412698413,5040,15
overall,MIXED,16.17,ALL,rune,8226,マナフローバンド,1176,580,596,0.4931972789115646,0.23333333333333334,5040,15
overall,MIXED,16.14,ALL,rune,9111,凱旋,1175,606,569,0.5157446808510638,0.33764367816091956,3480,15
overall,MIXED,16.17,ALL,rune,8299,背水の陣,1154,577,577,0.5,0.22896825396825396,5040,15
overall,MIXED,16.16,ALL,rune,9111,凱旋,1145,563,582,0.49170305676855897,0.34384384384384387,3330,15
overall,MIXED,16.17,ALL,rune,8210,至高,1140,563,577,0.493859649122807,0.2261904761904762,5040,15
overall,MIXED,16.15,ALL,rune,8226,マナフローバンド,1132,571,561,0.5044169611307421,0.27409200968523,4130,15
overall,MIXED,16.17,ALL,rune,8347,宇宙の英知,1113,548,565,0.49236298292902064,0.22083333333333333,5040,15
overall,MIXED,16.13,ALL,rune,9111,凱旋,1112,553,559,0.4973021582733813,0.33799392097264436,3290,15
overall,MIXED,16.15,ALL,rune,9104,レジェンド: 迅速,1104,551,553,0.4990942028985507,0.26731234866828085,4130,15
overall,MIXED,16.15,ALL,rune,8210,至高,1042,516,526,0.4952015355086372,0.2523002421307506,4130,15
overall,MIXED,16.11,ALL,shard,5008,UNKNOWN(5008),1036,513,523,0.4951737451737452,0.8779661016949153,1180,15
overall,MIXED,16.10,ALL,shard,5008,UNKNOWN(5008),999,502,497,0.5025025025025025,0.9,1110,15
overall,MIXED,15.19,ALL,shard,5008,UNKNOWN(5008),997,503,494,0.5045135406218656,0.8669565217391304,1150,15
overall,MIXED,16.17,BOTTOM,shard,5008,UNKNOWN(5008),994,495,499,0.49798792756539234,0.9861111111111112,1008,15
overall,MIXED,16.17,ALL,rune,8473,ボーンアーマー,981,475,506,0.4841997961264016,0.19464285714285715,5040,15
overall,MIXED,16.17,ALL,rune,8345,ビスケットデリバリー,976,495,481,0.507172131147541,0.19365079365079366,5040,15
overall,MIXED,16.17,MIDDLE,shard,5008,UNKNOWN(5008),961,480,481,0.4994797086368366,0.9533730158730159,1008,15
overall,MIXED,16.14,ALL,rune,8226,マナフローバンド,948,465,483,0.49050632911392406,0.27241379310344827,3480,15
overall,MIXED,16.17,ALL,rune,8304,魔法の靴,944,466,478,0.4936440677966102,0.1873015873015873,5040,15
overall,MIXED,16.17,JUNGLE,shard,5001,UNKNOWN(5001),943,468,475,0.49628844114528103,0.935515873015873,1008,15
overall,MIXED,16.14,ALL,rune,9104,レジェンド: 迅速,943,468,475,0.49628844114528103,0.27097701149425285,3480,15
overall,MIXED,16.15,ALL,shard,5011,UNKNOWN(5011),935,466,469,0.4983957219251337,0.22639225181598063,4130,15
overall,MIXED,16.15,ALL,rune,8299,背水の陣,913,466,447,0.5104052573932092,0.22106537530266343,4130,15
overall,MIXED,15.19,ALL,shard,5001,UNKNOWN(5001),913,450,463,0.4928806133625411,0.7939130434782609,1150,15
overall,MIXED,16.11,ALL,shard,5001,UNKNOWN(5001),907,449,458,0.49503858875413453,0.7686440677966102,1180,15
overall,MIXED,16.17,JUNGLE,shard,5008,UNKNOWN(5008),904,449,455,0.49668141592920356,0.8968253968253969,1008,15
overall,MIXED,16.15,ALL,rune,8347,宇宙の英知,901,459,442,0.5094339622641509,0.21815980629539952,4130,15
overall,MIXED,16.13,ALL,rune,8226,マナフローバンド,898,469,429,0.522271714922049,0.2729483282674772,3290,15
overall,MIXED,15.24,ALL,shard,5005,UNKNOWN(5005),894,445,449,0.49776286353467564,0.5228070175438596,1710,15
overall,MIXED,16.14,ALL,rune,8210,至高,878,414,464,0.4715261958997722,0.25229885057471263,3480,15
overall,MIXED,16.17,ALL,keystone,8010,征服者,864,442,422,0.5115740740740741,0.17142857142857143,5040,15
overall,MIXED,16.18,ALL,shard,5005,UNKNOWN(5005),864,436,428,0.5046296296296297,0.5142857142857142,1680,15
overall,MIXED,16.17,TOP,shard,5008,UNKNOWN(5008),862,438,424,0.5081206496519721,0.8551587301587301,1008,15
overall,MIXED,16.16,ALL,rune,9104,レジェンド: 迅速,857,445,412,0.5192532088681447,0.2573573573573574,3330,15
