scope,observed_tier,patch,role,spell_id,spell_name,games,wins,losses,win_rate,pick_rate,pick_rate_denominator,min_games_applied
overall,MIXED,16.17,ALL,4,フラッシュ,4837,2419,2418,0.5001033698573496,0.9597222222222223,5040,15
overall,MIXED,16.15,ALL,4,フラッシュ,3984,2003,1981,0.5027610441767069,0.9646489104116223,4130,15
overall,MIXED,16.14,ALL,4,フラッシュ,3344,1668,1676,0.4988038277511962,0.960919540229885,3480,15
overall,MIXED,16.13,ALL,4,フラッシュ,3211,1607,1604,0.5004671441918406,0.9759878419452888,3290,15
overall,MIXED,16.16,ALL,4,フラッシュ,3191,1600,1591,0.5014102162331557,0.9582582582582583,3330,15
overall,MIXED,15.24,ALL,4,フラッシュ,1653,824,829,0.4984875983061101,0.9666666666666667,1710,15
overall,MIXED,16.18,ALL,4,フラッシュ,1608,806,802,0.5012437810945274,0.9571428571428572,1680,15
overall,MIXED,16.17,ALL,14,イグナイト,1454,743,711,0.5110041265474553,0.28849206349206347,5040,15
overall,MIXED,16.15,ALL,14,イグナイト,1204,609,595,0.5058139534883721,0.29152542372881357,4130,15
overall,MIXED,16.11,ALL,4,フラッシュ,1146,570,576,0.4973821989528796,0.9711864406779661,1180,15
overall,MIXED,16.17,ALL,12,テレポート,1121,545,576,0.48617305976806424,0.2224206349206349,5040,15
overall,MIXED,15.19,ALL,4,フラッシュ,1108,559,549,0.5045126353790613,0.9634782608695652,1150,15
overall,MIXED,16.10,ALL,4,フラッシュ,1084,540,544,0.4981549815498155,0.9765765765765766,1110,15
overall,MIXED,16.15,ALL,12,テレポート,1035,522,513,0.5043478260869565,0.2506053268765133,4130,15
overall,MIXED,16.17,ALL,11,スマイト,1008,504,504,0.5,0.2,5040,15
overall,MIXED,16.17,JUNGLE,11,スマイト,1008,504,504,0.5,1.0,1008,15
overall,MIXED,16.17,BOTTOM,4,フラッシュ,1004,503,501,0.500996015936255,0.996031746031746,1008,15
overall,MIXED,16.17,MIDDLE,4,フラッシュ,993,496,497,0.499496475327291,0.9851190476190477,1008,15
overall,MIXED,16.17,UTILITY,4,フラッシュ,979,493,486,0.5035750766087844,0.9712301587301587,1008,15
overall,MIXED,16.16,ALL,14,イグナイト,965,482,483,0.49948186528497407,0.2897897897897898,3330,15
overall,MIXED,16.17,TOP,4,フラッシュ,939,475,464,0.5058572949946751,0.9315476190476191,1008,15
overall,MIXED,16.17,JUNGLE,4,フラッシュ,922,452,470,0.49023861171366595,0.9146825396825397,1008,15
overall,MIXED,15.13,ALL,4,フラッシュ,918,462,456,0.5032679738562091,0.95625,960,15
overall,MIXED,16.14,ALL,14,イグナイト,918,452,466,0.4923747276688453,0.2637931034482759,3480,15
overall,MIXED,16.14,ALL,12,テレポート,871,441,430,0.5063145809414467,0.25028735632183907,3480,15
overall,MIXED,16.12,ALL,4,フラッシュ,866,433,433,0.5,0.9730337078651685,890,15
overall,MIXED,16.3,ALL,4,フラッシュ,848,427,421,0.5035377358490566,0.9636363636363636,880,15
overall,MIXED,16.13,ALL,14,イグナイト,845,394,451,0.4662721893491124,0.256838905775076,3290,15
overall,MIXED,16.15,ALL,11,スマイト,826,413,413,0.5,0.2,4130,15
overall,MIXED,16.15,JUNGLE,11,スマイト,826,413,413,0.5,1.0,826,15
overall,MIXED,16.15,MIDDLE,4,フラッシュ,823,412,411,0.5006075334143378,0.9963680387409201,826,15
overall,MIXED,16.15,BOTTOM,4,フラッシュ,823,411,412,0.4993924665856622,0.9963680387409201,826,15
overall,MIXED,16.17,ALL,21,バリア,806,405,401,0.5024813895781638,0.1599206349206349,5040,15
overall,MIXED,16.15,UTILITY,4,フラッシュ,803,407,396,0.5068493150684932,0.9721549636803875,826,15
overall,MIXED,16.5,ALL,4,フラッシュ,790,398,392,0.5037974683544304,0.9753086419753086,810,15
